L,margin,margin2,total,total2,deficit,n_primes,g_log2,validation
1.0497,-0.579880377229155,-0.2652099765728705,-3.54990868710642e-14,1.2964754164460415e-14,1.6978184507905312,6,-0.3174632857078547,0.00015392179361471776
1.05,-0.5801858848190292,-0.26550038410131027,-3.5403692249767705e-14,-1.3898866479043798e-15,1.6977532698964137,6,0.17054439820697848,0.00015395631668860865
1.0886,-0.6189160528504857,-0.3022150083165561,-4.106688197240577e-14,9.069530599530794e-15,1.7648113911367673,6,-0.42305387289707935,0.0001595168572913071
1.1,-0.6301424995018178,-0.3128196698125393,-8.493907190421754e-14,-5.290178172768358e-14,1.8102164391259203,7,0.37080829191329173,0.00016096417823950666
1.1086,-0.6385504778786094,-0.3207503036093762,-4.64303089096757e-14,-3.4849197556109354e-14,1.8277844174850022,7,0.6212324994368676,0.00016227076325912247
1.15,-0.6783261923270029,-0.3581226964083832,-2.274720567524945e-14,-1.9881343620043227e-14,1.900233887081584,7,-0.00408291727682992,0.0001683440339135442
1.1889,-0.7147107073233457,-0.3920892882374628,-5.669704312797462e-14,-1.0940204099318351e-14,1.9748320313565788,7,0.10859374864985463,0.00017460884221385227
1.2,-0.7249290036630457,-0.40158844098752194,-6.567774698735663e-14,-4.217501350637395e-14,1.983844362265501,8,-0.167363847798912,0.00017342047951897718
1.2089,-0.7330715492349856,-0.40914528532020655,-6.063682113492969e-14,-8.658910150941526e-15,2.0169458659914348,8,-0.12269301128085973,0.00017247042848068104
1.25,-0.7701213911343128,-0.44337451147517476,-6.321384991756234e-14,-4.488151562778293e-14,1.999885457215406,8,-0.14569275720928015,0.00015831741464680568
1.2725,-0.7900380424961355,-0.46166881116760194,-1.0007073994520011e-13,-5.570010877394335e-14,2.011502008367066,8,-0.3550683386510707,0.00010877667628832778
1.2925,-0.807538763809373,-0.4776771903962975,-1.7641243491720194e-13,-8.843013120349045e-14,2.013005688952187,9,-0.1370710484695491,2.761628345972911e-05
1.3,-0.8140541937923009,-0.48362067496939204,-8.26926156669369e-14,-7.707039112312683e-14,2.0184653179546124,9,0.6115955946259846,1.2349103114162052e-05
